iteration,strategy,config,dataset,scenario,alignment_mode,density,n_workers,n_shards,n_samples,n_features,decode_latency,barrier_latency,decode_wall_clock,barrier_wall_clock,loss,decode_success,decode_residual,decode_cpu_seconds,scheduler_seconds,dispatch_seconds,cancel_seconds,network_response_bytes,network_response_sleep_seconds,worker_compute_cpu_seconds,selected_rows,completed_rows,cancelled_rows,rows_after_decode,worker_errors,worker_recoveries,reissued_rows,extra_compute,second_layer_used,slow_workers,mean_worker_speed
0,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,16,8,1600,240,0.03215390001423657,0.06293180002830923,0.03215390001423657,0.06293180002830923,0.023423760308299967,True,5.795534335168189e-16,0.0009014998795464635,0.001979700056836009,0.004664400010369718,0.02740379993338138,67392,0.08315654399999997,0.018803600454702973,10,27,5,17,0,0,0,2.4942336309523814,False,4,0.7815653483503293
1,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,16,8,1600,240,0.03119659994263202,0.05959699989762157,0.06335049995686859,0.1225287999259308,0.023360403943576896,True,1.1827914066321619e-15,0.0009014998795464635,5.7299970649182796e-05,0.004319400060921907,0.02786040003411472,62400,0.07699679999999998,0.014855199959129095,11,25,7,14,0,0,0,2.7468377976190474,False,4,0.8123869040105576
2,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,16,8,1600,240,0.022909199935384095,0.03852019994519651,0.08625969989225268,0.1610489998711273,0.02329729750668942,True,6.1939102747936e-16,0.0013552999589592218,6.820005364716053e-05,0.004407299915328622,0.014756100019440055,49920,0.06159743999999998,0.012709100032225251,10,20,12,10,0,0,0,2.5174851190476186,False,4,0.8206999494477403
3,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,16,8,1600,240,0.026721700094640255,0.053427500068210065,0.11298139998689294,0.21447649993933737,0.02323443991215218,True,1.0778315928076987e-15,0.0016435998259112239,8.569995407015085e-05,0.007709500030614436,0.026211600052192807,59904,0.07391692799999998,0.015803300077095628,12,24,8,12,0,0,0,3.126302083333333,True,4,0.8290797909828065
4,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,16,8,1600,240,0.025690200040116906,0.04398389998823404,0.13867160002700984,0.2584603999275714,0.023171830079526803,True,1.279769832707001e-15,0.0016662001144140959,6.530003156512976e-05,0.004619800020009279,0.015440699993632734,42432,0.05235782399999999,0.012475799769163132,11,17,15,6,0,0,0,3.134672619047619,True,7,0.6518193986013674
5,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,16,8,1600,240,0.03460110002197325,0.06235600006766617,0.1732727000489831,0.3208163999952376,0.023109466933397303,True,1.3282137738552134e-15,0.000819699838757515,6.170000415295362e-05,0.004928900045342743,0.027217500028200448,42432,0.05235782399999999,0.01131220010574907,8,17,15,9,0,0,0,1.9962797619047619,False,7,0.60826792846475
6,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,16,8,1600,240,0.025098799960687757,0.04209719994105399,0.19837150000967085,0.3629135999362916,0.023047349403345557,True,7.076311083754594e-16,0.0016521000070497394,7.389998063445091e-05,0.004614499979652464,0.015329900081269443,42432,0.05235782399999999,0.012706599780358374,10,17,15,7,0,0,0,2.7704613095238098,True,7,0.7640506459716205
7,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,16,8,1600,240,0.023844399955123663,0.042873800033703446,0.22221589996479452,0.405787399969995,0.02298547642392697,True,1.4114467522631367e-15,0.0018962002359330654,6.049999501556158e-05,0.004579299944452941,0.014933700091205537,39936,0.04927795199999999,0.0120363999158144,9,16,16,7,0,0,0,2.3716517857142856,True,7,0.6339233386738039
0,rltune_style_selector,rltune-style-spec:speculative-replicas:pred_barrier=0.0041:pred_prefix=8,synthetic,phase,none,0.014,16,8,1600,240,0.03662670007906854,0.06274030008353293,0.03662670007906854,0.06274030008353293,0.023423760308299967,True,3.4888217564856087e-16,0.0011892999755218625,0.005346199963241816,0.004716099938377738,0.025827100034803152,39936,0.04927795199999999,0.00663429987616837,14,16,0,2,0,0,0,1.7507440476190474,False,4,0.7815653483503293
1,rltune_style_selector,rltune-style-speed:speed-aware-identity:pred_barrier=0.0132:pred_prefix=8,synthetic,phase,none,0.014,16,8,1600,240,0.03366069996263832,0.05531910003628582,0.07028740004170686,0.11805940011981875,0.023360403943576896,True,0.0,0.0006522999610751867,0.005964700016193092,0.004881499917246401,0.021344600012525916,19968,0.024638976000000003,0.003357800072990358,8,8,0,0,0,0,0,1.0,False,4,0.8123869040105576
2,rltune_style_selector,rltune-style-spec:speculative-replicas:pred_barrier=0.0335:pred_prefix=8,synthetic,phase,none,0.014,16,8,1600,240,0.021600699983537197,0.03547090000938624,0.09188810002524406,0.153530300129205,0.02329729750668942,True,0.0,0.0011504997964948416,0.006014800048433244,0.004806599928997457,0.013524899957701564,39936,0.04927795199999999,0.007138500222936273,10,16,0,6,0,0,0,1.2513020833333333,False,4,0.8206999494477403
3,rltune_style_selector,rltune-style-spec:speculative-replicas:pred_barrier=0.0328:pred_prefix=8,synthetic,phase,none,0.014,16,8,1600,240,0.020848300075158477,0.03276740002911538,0.11273640010040253,0.18629770015832037,0.02323443991215218,True,1.3597399555105182e-16,0.0016011999687179923,0.006307700066827238,0.0045189999509602785,0.011578500038012862,39936,0.04927795199999999,0.007129300152882934,11,16,0,5,0,0,0,1.3718377976190474,False,4,0.8290797909828065
4,rltune_style_selector,rltune-style-spec:speculative-replicas:pred_barrier=0.0339:pred_prefix=8,synthetic,phase,none,0.014,16,8,1600,240,0.04361249995417893,0.05702949990518391,0.15634890005458146,0.24332720006350428,0.023171830079526803,True,1.570092458683775e-16,0.0014216001145541668,0.006777799921110272,0.0045409000013023615,0.013142599957063794,39936,0.04927795199999999,0.007411100203171372,12,16,0,4,0,0,0,1.4990699404761905,False,7,0.6518193986013674
5,rltune_style_selector,rltune-style-speed:speed-aware-identity:pred_barrier=0.0334:pred_prefix=8,synthetic,phase,none,0.014,16,8,1600,240,0.029018200002610683,0.06520750001072884,0.18536710005719215,0.3085347000742331,0.023109466933397303,True,0.0,0.0008936002850532532,0.00539020006544888,0.008351300028152764,0.03591799992136657,19968,0.024638976000000003,0.0035356999142095447,8,8,0,0,0,0,0,1.0,False,7,0.60826792846475
6,rltune_style_selector,rltune-style-spec:speculative-replicas:pred_barrier=0.0420:pred_prefix=8,synthetic,phase,none,0.014,16,8,1600,240,0.03341319994069636,0.07023780001327395,0.2187802999978885,0.37877250008750707,0.023047349403345557,True,1.1102230246251565e-16,0.001074999920092523,0.007843200000934303,0.005214700009673834,0.036535699968226254,27456,0.033878592000000006,0.0048674000427126884,9,11,5,2,0,0,0,1.126674107142857,False,7,0.7640506459716205
7,rltune_style_selector,rltune-style-speed:speed-aware-identity:pred_barrier=0.0446:pred_prefix=8,synthetic,phase,none,0.014,16,8,1600,240,0.03415560000576079,0.04639489995315671,0.2529359000036493,0.4251674000406638,0.02298547642392697,True,0.0,0.0007936999900266528,0.006563200033269823,0.005551900016143918,0.01198770001064986,19968,0.024638976000000003,0.0035988999297842383,8,8,0,0,0,0,0,1.0,False,7,0.6339233386738039
0,sailor_style_heterogeneity_aware,sailor-style-speed:speed-aware-identity:pred_all_done=0.0025,synthetic,phase,none,0.014,16,8,1600,240,0.02129369997419417,0.03308880003169179,0.02129369997419417,0.03308880003169179,0.023423760308299967,True,0.0,0.0013017000164836645,0.0024269999703392386,0.00587160000577569,0.01156550005543977,19968,0.024638976000000003,0.003458299906924367,8,8,0,0,0,0,0,1.0,False,4,0.7815653483503293
1,sailor_style_heterogeneity_aware,sailor-style-speed:speed-aware-identity:pred_all_done=0.0024,synthetic,phase,none,0.014,16,8,1600,240,0.035157699952833354,0.04746129992417991,0.056451399927027524,0.0805500999558717,0.023360403943576896,True,0.0,0.0008328000549226999,0.0025106000248342752,0.0043793999357149005,0.012023000046610832,19968,0.024638976000000003,0.0035195000236853957,8,8,0,0,0,0,0,1.0,False,4,0.8123869040105576
2,sailor_style_heterogeneity_aware,sailor-style-speed:speed-aware-identity:pred_all_done=0.0024,synthetic,phase,none,0.014,16,8,1600,240,0.03715700004249811,0.05866860004607588,0.09360839996952564,0.13921870000194758,0.02329729750668942,True,0.0,0.0008679000893607736,0.0021884000161662698,0.004941900027915835,0.021258899942040443,19968,0.024638976000000003,0.003454999881796539,8,8,0,0,0,0,0,1.0,False,4,0.8206999494477403
3,sailor_style_heterogeneity_aware,sailor-style-speed:speed-aware-identity:pred_all_done=0.0024,synthetic,phase,none,0.014,16,8,1600,240,0.03276699990965426,0.04555139993317425,0.1263753998791799,0.18477009993512183,0.02323443991215218,True,0.0,0.0008957000682130456,0.0024935000110417604,0.005786500056274235,0.012516199960373342,19968,0.024638976000000003,0.0032510998426005244,8,8,0,0,0,0,0,1.0,False,4,0.8290797909828065
4,sailor_style_heterogeneity_aware,sailor-style-speed:speed-aware-identity:pred_all_done=0.0021,synthetic,phase,none,0.014,16,8,1600,240,0.03638940001837909,0.05075850000139326,0.162764799897559,0.2355285999365151,0.023171830079526803,True,0.0,0.0008914000354707241,0.002553700003772974,0.005027899984270334,0.014105799957178533,19968,0.024638976000000003,0.0036864998983219266,8,8,0,0,0,0,0,1.0,False,7,0.6518193986013674
5,sailor_style_heterogeneity_aware,sailor-style-speed:speed-aware-identity:pred_all_done=0.0025,synthetic,phase,none,0.014,16,8,1600,240,0.02443300001323223,0.062029600027017295,0.18719779991079122,0.2975581999635324,0.023109466933397303,True,0.0,0.001089500030502677,0.0026545999571681023,0.004152099951170385,0.03737659996841103,19968,0.024638976000000003,0.0033153003314509988,8,8,0,0,0,0,0,1.0,False,7,0.60826792846475
