external_mode,n_workers,seed,strategy,mean_barrier_ms,p95_barrier_ms,mean_decode_ms,mean_extra_compute,mean_rows_after_decode,decode_success_rate,mean_dispatch_ms,mean_cancel_ms,method,source,artifact,uses_first_decode_features,notes
network_stress,16,11,original_sfcl_static,47.94973747630132,61.93516499479294,24.506849978934,2.430361793154762,9.75,1.0,4.373987481812899,22.39622500201216,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement
network_stress,16,11,rltune_style_selector,45.580712467199135,57.74713499704366,24.521325001842285,1.1219075520833335,1.25,1.0,4.5387499703792376,20.86710002913601,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms"
network_stress,16,11,sailor_style_heterogeneity_aware,43.00493749906305,57.07361501990814,22.244825013331074,1.0,0.0,1.0,4.782587508088862,20.57003747904669,Sailor-style,SOSP'25 Sailor,public artifact; runtime adaptation,No,heterogeneity-aware throughput and load model
network_stress,16,11,guarded_system_portfolio,64.37297498632685,89.49879502179093,36.189474980346816,1.0,0.0,1.0,5.5595749727217,27.94608748808964,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
network_stress,16,11,online_counter_guard_deadline_aware_sparse_flexible,49.76789999636816,60.79473997815507,28.17069999582595,2.3188941592261907,11.875,1.0,4.599537496687799,20.28363751014691,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback
network_stress,16,17,original_sfcl_static,57.881387474480974,64.32049493887456,31.345224982942412,2.615652901785714,10.125,1.0,4.174200003035325,25.485999998636487,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement
network_stress,16,17,rltune_style_selector,50.54704999201927,59.10687001305631,30.726662487722876,1.1702706473214286,1.125,1.0,4.710524983238375,19.601874999352688,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms"
network_stress,16,17,sailor_style_heterogeneity_aware,55.22951252351044,60.97122000646772,32.934450005996,1.0,0.0,1.0,4.404575010994387,22.0933999953558,Sailor-style,SOSP'25 Sailor,public artifact; runtime adaptation,No,heterogeneity-aware throughput and load model
network_stress,16,17,guarded_system_portfolio,46.4718124858336,60.302479949314055,26.797337486641425,1.0,0.0,1.0,4.880199994659012,19.45417499518949,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
network_stress,16,17,online_counter_guard_deadline_aware_sparse_flexible,55.70612500014244,60.839374992065096,26.801624990184724,2.474051339285714,10.5,1.0,4.591637494740962,27.57476249826136,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback
