external_mode,n_workers,strategy,mean_barrier_ms,p95_barrier_ms,mean_decode_ms,p95_decode_ms,mean_extra_compute,mean_rows_after_decode,decode_success_rate,mean_dispatch_ms,mean_cancel_ms,mean_network_response_mb,method,source,artifact,uses_first_decode_features,notes,gain_vs_original_percent
network_stress,16,original_sfcl_static,53.179857808572656,70.96496996236954,28.309770310443085,34.532880008919115,2.501421247209821,9.828125,1.0,4.733579686217078,23.618651564902347,0.048009,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement,0.0
network_stress,16,rltune_style_selector,53.09406249580202,76.95679491735049,30.355789060195036,43.32775495131495,1.1343238467261905,1.515625,1.0,4.819284369659674,22.494689063023493,0.026442,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms",0.16133046665800774
network_stress,16,sailor_style_heterogeneity_aware,53.33704531221878,71.24946000985796,30.95228906204279,40.33264000900083,1.0,0.0,1.0,4.8132750071089925,22.15246874584404,0.019968,Sailor-style,SOSP'25 Sailor,public artifact; runtime adaptation,No,heterogeneity-aware throughput and load model,-0.2955771416537747
network_stress,16,guarded_system_portfolio,53.08454999249075,83.94062999286677,30.644857803053988,48.968784912722064,1.0,0.0,1.0,4.8019296809797645,22.211393748875665,0.019968,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio,0.17921788438204952
network_stress,16,online_counter_guard_deadline_aware_sparse_flexible,55.81158437416884,81.59492500708429,29.95692655531451,40.62870498164547,2.4543922061011907,11.109375,1.0,4.903998442387043,24.840603120537665,0.050778,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback,-4.948728097524068
network_stress,24,original_sfcl_static,60.861193753225905,93.31367996055631,32.39210312676728,49.67740005813532,2.53228759765625,21.015625,1.0,4.639329699784818,27.248839063759025,0.076908,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement,0.0
network_stress,24,rltune_style_selector,65.40910780677217,137.45662496075957,35.3124531156936,69.7232099773827,1.2345929827008928,4.140625,1.0,4.8871843900996685,29.84371874845232,0.034281,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms",-7.4726008037021225
network_stress,24,sailor_style_heterogeneity_aware,55.48032969454648,67.64948999625618,31.419809372891862,41.52851998223914,1.0,0.0,1.0,4.543107816061773,23.860882805820392,0.019968,Sailor-style,SOSP'25 Sailor,public artifact; runtime adaptation,No,heterogeneity-aware throughput and load model,8.84120689531204
network_stress,24,guarded_system_portfolio,53.92714687332041,61.24247997067867,30.034187495402826,37.91179494583041,1.0,0.0,1.0,4.447076564247206,23.71046092957836,0.019968,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio,11.393215368106317
network_stress,24,online_counter_guard_deadline_aware_sparse_flexible,54.697195313565274,62.63228995958342,29.01705312433473,33.21653503226109,2.4753476097470237,19.671875,1.0,4.2370390710856976,24.565687506765194,0.073125,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback,10.127961775862987
network_stress,8,original_sfcl_static,49.44477655772057,88.59598003909908,32.990993740895604,63.903125049546304,2.5454566592261907,1.421875,1.0,3.871517190418619,15.248251556840794,0.024999,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement,0.0
network_stress,8,rltune_style_selector,55.60319687356236,86.01416990859433,38.0923437478486,67.90701997815627,1.2576323009672619,0.34375,1.0,3.8831703150207892,17.1260859297035,0.020631,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms",-12.455148439497153
network_stress,8,sailor_style_heterogeneity_aware,56.3332890724268,89.86163500812832,40.40983437698738,68.03066496504465,1.0,0.0,1.0,3.868256246278127,15.810953127584023,0.019968,Sailor-style,SOSP'25 Sailor,public artifact; runtime adaptation,No,heterogeneity-aware throughput and load model,-13.931729485448791
network_stress,8,guarded_system_portfolio,48.38879219096266,73.86154996929687,32.27609532041238,59.5444999635218,2.1233084542410716,1.609375,1.0,3.8851609333505075,15.160245313381845,0.023751,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio,2.135684374112162
network_stress,8,online_counter_guard_deadline_aware_sparse_flexible,47.9219765602465,79.9504700058605,31.348095310022423,56.34034001268433,2.3960455031622026,1.953125,1.0,4.052515629155043,15.337706250647848,0.025116,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback,3.079799532912028
