external_mode,n_workers,seed,strategy,actual_barrier_ms,no_straggler_barrier_ms,cancel_free_barrier_ms,fastest_safe_barrier_ms,removable_tail_fraction,dominant_bottleneck,method,source,artifact,uses_first_decode_features,notes
network_stress,16,11,original_sfcl_static,47.94973747630132,47.37909198465809,28.880837460746896,28.880837460746896,0.3843710827358911,network,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement
network_stress,16,11,rltune_style_selector,45.580712467199135,35.52920248918129,29.060074972221525,29.060074972221525,0.35222839584149057,network,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms"
network_stress,16,11,sailor_style_heterogeneity_aware,43.00493749906305,30.389574830151332,27.027412521419937,27.027412521419937,0.35115704923075686,network,Sailor-style,SOSP'25 Sailor,public artifact; runtime adaptation,No,heterogeneity-aware throughput and load model
network_stress,16,11,guarded_system_portfolio,64.37297498632685,34.61575353700958,41.749049953068514,41.749049953068514,0.3499326794979719,cancel,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
network_stress,16,11,online_counter_guard_deadline_aware_sparse_flexible,49.767899996368165,49.767899996368165,32.77023749251375,32.77023749251375,0.33270471284623365,network,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback
network_stress,16,17,original_sfcl_static,57.881387474480974,54.366272569497035,35.519424985977736,35.519424985977736,0.37597921181541555,network,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement
network_stress,16,17,rltune_style_selector,50.547049992019275,36.05964221674986,35.43718747096125,35.43718747096125,0.28090790679115407,network,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms"
network_stress,16,17,sailor_style_heterogeneity_aware,55.22951252351044,30.647900766606245,37.33902501699039,37.33902501699039,0.32240567623747307,cancel,Sailor-style,SOSP'25 Sailor,public artifact; runtime adaptation,No,heterogeneity-aware throughput and load model
network_stress,16,17,guarded_system_portfolio,46.471812485833595,30.476388507389586,31.677537481300437,31.677537481300437,0.3041337712423123,network,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
network_stress,16,17,online_counter_guard_deadline_aware_sparse_flexible,55.706125000142436,55.450955429842985,31.393262484925685,31.393262484925685,0.43208543374445824,network,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback
