external_mode,strategy,selected_arm,rounds,round_fraction,method,source,artifact,uses_first_decode_features,notes
tcp,original_sfcl_static,fixed,192,1.0,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement
tcp,rltune_style_selector,spec,82,0.4270833333333333,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms"
tcp,rltune_style_selector,speed,94,0.4895833333333333,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms"
tcp,sailor_style_heterogeneity_aware,speed,192,1.0,Sailor-style,SOSP'25 Sailor,public artifact; runtime adaptation,No,heterogeneity-aware throughput and load model
tcp,guarded_system_portfolio,best_safe-uncoded,137,0.7135416666666666,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
tcp,online_counter_guard_deadline_aware_sparse_flexible,enable,39,0.203125,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback
tcp,online_counter_guard_deadline_aware_sparse_flexible,fallback,153,0.796875,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback
tcp,rltune_style_selector,rank,5,0.026041666666666668,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms"
tcp,rltune_style_selector,original,11,0.057291666666666664,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms"
tcp,guarded_system_portfolio,best_safe-static,33,0.171875,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
tcp,guarded_system_portfolio,rank,22,0.11458333333333333,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
