iteration,strategy,config,dataset,scenario,alignment_mode,density,n_workers,n_shards,n_samples,n_features,decode_latency,barrier_latency,decode_wall_clock,barrier_wall_clock,loss,decode_success,decode_residual,decode_cpu_seconds,scheduler_seconds,dispatch_seconds,cancel_seconds,network_response_bytes,network_response_sleep_seconds,worker_compute_cpu_seconds,selected_rows,completed_rows,cancelled_rows,rows_after_decode,worker_errors,worker_recoveries,reissued_rows,extra_compute,second_layer_used,slow_workers,mean_worker_speed
0,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,24,8,1600,240,0.029607499949634075,0.0448278000112623,0.029607499949634075,0.0448278000112623,0.028663140005633636,True,6.131407058289217e-16,0.0004624997964128852,0.001954799983650446,0.00044450000859797,0.014768900000490248,104832,0.0,0.020352500141598284,7,42,6,35,0,0,0,1.869233630952381,True,5,0.9058651942036899
1,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,24,8,1600,240,0.030396300018765032,0.045691799954511225,0.06000379996839911,0.09051959996577352,0.02859377277293419,True,1.4244857982466483e-15,0.0004506999393925071,3.360002301633358e-05,0.0004186000442132354,0.014895500033162534,104832,0.0,0.0168936001136899,10,42,6,32,0,0,0,2.618675595238096,True,5,0.8821616442029431
2,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,24,8,1600,240,0.014882500050589442,0.04626299999654293,0.07488630001898855,0.13678259996231645,0.028524641317288556,True,6.614917107302101e-16,0.0005406999262049794,4.800001624971628e-05,0.0006302000256255269,0.031034699990414083,92352,0.0,0.014181199483573437,8,37,11,29,0,0,0,1.997953869047619,False,5,0.9228304913099764
3,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,24,8,1600,240,0.03059079998638481,0.06317540002055466,0.10547710000537336,0.19995799998287112,0.02845574476226045,True,5.329359630937608e-15,0.00041649979539215565,4.840001929551363e-05,0.0007742999587208033,0.03216959990095347,107328,0.0,0.01718169974628836,8,43,5,35,0,0,0,1.9938616071428572,False,5,0.9238611217617416
4,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,24,8,1600,240,0.030573800089769065,0.04647510009817779,0.13605090009514242,0.2464331000810489,0.028387082234947802,True,5.795534335168189e-16,0.0009777999948710203,3.779993858188391e-05,0.0004194000503048301,0.014236600021831691,62400,0.0,0.009601200348697603,20,25,23,5,0,0,0,6.001488095238096,True,11,0.5669587049103789
5,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,24,8,1600,240,0.02901289996225387,0.05910990003030747,0.1650638000573963,0.3055430001113564,0.028318652865967384,True,9.338421059357626e-16,0.0004902000073343515,3.709993325173855e-05,0.00045160006266087294,0.029688799986615777,62400,0.0,0.010369100025855005,8,25,23,17,0,0,0,2.130208333333333,True,11,0.5285260946474856
6,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,24,8,1600,240,0.029741100035607815,0.04481870005838573,0.1948049000930041,0.3503617001697421,0.028250455789439636,True,2.7242914002893767e-15,0.00034069991670548916,3.8899946957826614e-05,0.00047009997069835663,0.014776699943467975,64896,0.0,0.010352900018915534,8,26,22,18,0,0,0,2.013392857142857,False,11,0.5659732523448285
7,original_sfcl_static,balanced_d2_d3,synthetic,phase,none,0.014,24,8,1600,240,0.030158299952745438,0.061070699943229556,0.22496320004574955,0.41143240011297166,0.02818249014297335,True,6.1939102747936e-16,0.0004715999821200967,3.85999446734786e-05,0.0007532000308856368,0.03056839993223548,64896,0.0,0.010669699870049953,8,26,22,18,0,0,0,1.9955357142857144,False,11,0.6041894807796641
0,rltune_style_selector,rltune-style-spec:speculative-replicas:pred_barrier=0.0032:pred_prefix=8,synthetic,phase,none,0.014,24,8,1600,240,0.027173500042408705,0.057441000011749566,0.027173500042408705,0.057441000011749566,0.028663140005633636,True,1.4686870114880514e-16,0.0005650999955832958,0.0044804000062868,0.0009232000447809696,0.029918299987912178,54912,0.0,0.006377999787218869,11,22,2,11,0,0,0,1.3744419642857142,False,5,0.9058651942036899
1,rltune_style_selector,rltune-style-speed:speed-aware-identity:pred_barrier=0.0125:pred_prefix=8,synthetic,phase,none,0.014,24,8,1600,240,0.02702140004839748,0.057214500033296645,0.054194900090806186,0.11465550004504621,0.02859377277293419,True,0.0,0.0004515998298302293,0.0047568000154569745,0.0007637999951839447,0.02995380002539605,19968,0.0,0.0027693997835740447,8,8,0,0,0,0,0,1.0,False,5,0.8821616442029431
