external_mode,n_workers,seed,strategy,actual_barrier_ms,no_straggler_barrier_ms,cancel_free_barrier_ms,fastest_safe_barrier_ms,removable_tail_fraction,dominant_bottleneck,method,source,artifact,uses_first_decode_features,notes
tcp,16,11,original_sfcl_static,49.21751248184587,20.752308777946332,25.84782497433475,25.59605623537201,0.46706469236429327,cancel,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement
tcp,16,11,rltune_style_selector,44.09308750473425,18.313049731386815,23.221350013045523,22.99441250943338,0.47322057122054095,cancel,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms"
tcp,16,11,sailor_style_heterogeneity_aware,47.09622501104602,23.984523436956763,29.32581245840984,29.32581245840984,0.3723964336781947,cancel,Sailor-style,SOSP'25 Sailor,public artifact; runtime adaptation,No,heterogeneity-aware throughput and load model
tcp,16,11,guarded_system_portfolio,43.725462513975764,19.477273084294183,23.852112484746538,23.852112484746538,0.446605594642004,cancel,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
tcp,16,11,online_counter_guard_deadline_aware_sparse_flexible,42.708737499196964,20.055525053248815,24.85019995947364,24.674968699400704,0.41855824290531224,cancel,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback
tcp,16,17,original_sfcl_static,57.02065001241858,23.986632466676348,29.616300016641564,29.328087512112624,0.4838738395178422,cancel,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement
tcp,16,17,rltune_style_selector,44.2355749837588,18.225477211171857,22.507025016238828,22.507025016238828,0.48782195735810885,cancel,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms"
tcp,16,17,sailor_style_heterogeneity_aware,45.88096251245584,17.806878075134534,22.335124973324014,22.335124973324014,0.5064667911314151,cancel,Sailor-style,SOSP'25 Sailor,public artifact; runtime adaptation,No,heterogeneity-aware throughput and load model
tcp,16,17,guarded_system_portfolio,46.76592498435636,19.880611496046143,24.418387431069164,24.418387431069164,0.47470875562639914,cancel,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
tcp,16,17,online_counter_guard_deadline_aware_sparse_flexible,46.20508752122983,18.03360927356149,22.665412514470475,22.402556263841614,0.5110036889472049,cancel,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback
tcp,16,23,original_sfcl_static,40.3576000098837,16.44534204974657,20.467774986172937,20.39959372632428,0.49115454727154056,cancel,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement
tcp,16,23,rltune_style_selector,47.00858751311894,21.011805549960584,26.588162494590414,26.44513750419709,0.43594932108371465,cancel,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms"
tcp,16,23,sailor_style_heterogeneity_aware,67.24650000978724,28.32022080087877,34.46057499968436,34.46057499968436,0.4823630365661484,cancel,Sailor-style,SOSP'25 Sailor,public artifact; runtime adaptation,No,heterogeneity-aware throughput and load model
tcp,16,23,guarded_system_portfolio,93.29267502471336,40.148916010912174,48.84437499276818,48.84437499276818,0.4631260818523352,cancel,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
tcp,16,23,online_counter_guard_deadline_aware_sparse_flexible,45.451924990629735,16.9746589399892,21.121125013451,21.083668762002976,0.5324644364609212,cancel,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback
tcp,16,31,original_sfcl_static,40.17900001781523,18.402735155404965,23.26506251120005,22.76171875564607,0.40704839934458686,cancel,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement
tcp,16,31,rltune_style_selector,49.24307498731646,19.2954607188312,23.963449973962177,23.963449973962177,0.503899100740877,cancel,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms"
tcp,16,31,sailor_style_heterogeneity_aware,41.42136251903135,19.296977691692476,24.346962527488238,24.346962527488238,0.40271843636510807,cancel,Sailor-style,SOSP'25 Sailor,public artifact; runtime adaptation,No,heterogeneity-aware throughput and load model
tcp,16,31,guarded_system_portfolio,46.86318748281334,16.813304165998442,21.21699998679095,21.21699998679095,0.5507156723529242,cancel,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
tcp,16,31,online_counter_guard_deadline_aware_sparse_flexible,47.57716246240301,19.18801158121819,24.30357498815276,23.981049969734073,0.4837212564773166,cancel,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback
tcp,16,37,original_sfcl_static,49.11071252718097,21.261717504148642,27.136862510815234,26.505418754822966,0.44356136748700875,cancel,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement
tcp,16,37,rltune_style_selector,43.095312517834785,17.75598400913617,22.0084125176071,22.0084125176071,0.4816532913493783,cancel,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms"
tcp,16,37,sailor_style_heterogeneity_aware,34.380662516923586,14.806142846737144,18.42191252217151,18.42191252217151,0.44473082266495306,cancel,Sailor-style,SOSP'25 Sailor,public artifact; runtime adaptation,No,heterogeneity-aware throughput and load model
tcp,16,37,guarded_system_portfolio,47.68563751713368,19.23821822883835,23.75797501008485,23.75797501008485,0.5002430058956802,cancel,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
tcp,16,37,online_counter_guard_deadline_aware_sparse_flexible,51.267737522721234,22.037062625895448,27.727962515200424,27.327050018357024,0.4486443889113559,cancel,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback
tcp,16,43,original_sfcl_static,39.22663749835914,19.54595122097085,23.954612508532488,23.89282501098922,0.3606073477020545,cancel,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement
tcp,16,43,rltune_style_selector,54.15266250201961,22.76175766733099,27.771762514021137,27.771762514021137,0.4940143725027721,cancel,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms"
tcp,16,43,sailor_style_heterogeneity_aware,44.74416248558553,20.762244152729135,25.326912524178525,25.326912524178525,0.41268979628922564,cancel,Sailor-style,SOSP'25 Sailor,public artifact; runtime adaptation,No,heterogeneity-aware throughput and load model
tcp,16,43,guarded_system_portfolio,47.50994998903475,18.1832847434634,22.81437497003925,22.81437497003925,0.5204920161812757,cancel,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
tcp,16,43,online_counter_guard_deadline_aware_sparse_flexible,44.02168749948027,18.74899477334107,23.56736249930685,23.272793754585948,0.4624035169008235,cancel,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback
tcp,16,53,original_sfcl_static,40.05901247728611,19.74308199332877,24.160662491340137,23.980806225154,0.38015764525603846,cancel,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement
tcp,16,53,rltune_style_selector,50.982887492864336,23.204858117696816,28.506612492492362,28.314643743215058,0.4270558588897463,cancel,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms"
tcp,16,53,sailor_style_heterogeneity_aware,50.45954999513921,20.221658091168102,24.971500009996713,24.971500009996713,0.5175510014369132,cancel,Sailor-style,SOSP'25 Sailor,public artifact; runtime adaptation,No,heterogeneity-aware throughput and load model
tcp,16,53,guarded_system_portfolio,49.97391250799406,23.57103776807886,28.927612525876512,28.927612525876512,0.406905619390951,cancel,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
tcp,16,53,online_counter_guard_deadline_aware_sparse_flexible,47.60822503885715,21.993798579751402,27.221075026318324,27.13229376968218,0.4127233956164714,cancel,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback
tcp,16,7,original_sfcl_static,44.05828751623626,18.15756121741283,23.177274997578863,22.748874995158886,0.47674113000722484,cancel,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement
tcp,16,7,rltune_style_selector,39.33416251675221,18.144420284625042,22.44705002522085,22.44705002522085,0.4303806697406706,cancel,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms"
tcp,16,7,sailor_style_heterogeneity_aware,45.33673748665017,18.306711653985932,23.239512505824564,23.239512505824564,0.48101354051476275,cancel,Sailor-style,SOSP'25 Sailor,public artifact; runtime adaptation,No,heterogeneity-aware throughput and load model
tcp,16,7,guarded_system_portfolio,45.132712504710014,19.627708384814426,24.309037486091164,24.309037486091164,0.4537707429663541,cancel,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
tcp,16,7,online_counter_guard_deadline_aware_sparse_flexible,50.58325000572943,25.056632856740137,31.10382499289696,30.756293752347055,0.37875438201820333,cancel,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback
tcp,24,11,original_sfcl_static,47.779637519852216,24.275222661253746,29.84667502460069,29.533837521739702,0.3732872749582521,cancel,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement
tcp,24,11,rltune_style_selector,41.58527498657345,21.748116454455115,26.323074955143863,26.323074955143863,0.3559351053525759,cancel,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms"
tcp,24,11,sailor_style_heterogeneity_aware,63.20846251037432,31.05800297707897,38.44097501132627,38.44097501132627,0.40674180744408256,cancel,Sailor-style,SOSP'25 Sailor,public artifact; runtime adaptation,No,heterogeneity-aware throughput and load model
tcp,24,11,guarded_system_portfolio,51.63591250311578,20.688028178665217,25.419712459551985,25.419712459551985,0.5112032247905515,cancel,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
tcp,24,11,online_counter_guard_deadline_aware_sparse_flexible,54.12552501366004,24.49729008712888,30.30068750376809,29.944218738819394,0.43287723943096434,cancel,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback
tcp,24,17,original_sfcl_static,55.08246250974475,25.119530317897393,30.637537522125,30.523112516675532,0.4338365312481194,cancel,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement
tcp,24,17,rltune_style_selector,55.71571248583491,22.304709060335828,26.9984500191639,26.9984500191639,0.5218842439094933,cancel,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms"
