Runtime,Ablation,W8 mean ms,W8 post rows,W8 cancel ms,W16 mean ms,W16 post rows,W16 cancel ms,W24 mean ms,W24 post rows,W24 cancel ms
TCP,G-PORT,40.9,1.6,14.7,52.6,0.0,26.2,48.8,0.0,25.1
TCP,w/o FD,50.9,0.0,15.7,47.1,0.0,22.6,50.6,0.0,24.9
TCP,w/o code,51.9,0.4,17.0,46.5,2.2,22.5,53.9,2.7,26.3
TCP,w/o portfolio,42.0,1.8,14.8,46.9,12.4,21.8,55.2,23.0,26.8
TCP+stress,G-PORT,48.4,1.6,15.2,53.1,0.0,22.2,53.9,0.0,23.7
TCP+stress,w/o FD,56.3,0.0,15.8,53.3,0.0,22.2,55.5,0.0,23.9
TCP+stress,w/o code,55.6,0.3,17.1,53.1,1.5,22.5,65.4,4.1,29.8
TCP+stress,w/o portfolio,47.9,2.0,15.3,55.8,11.1,24.8,54.7,19.7,24.6
K3s,G-PORT,19.6,0.4,1.7,11.3,1.5,3.2,12.4,0.0,4.3
K3s,w/o FD,29.0,0.0,1.6,9.4,0.0,2.9,12.4,0.0,4.3
K3s,w/o code,28.0,0.0,1.6,9.8,1.3,3.2,12.8,2.5,4.6
K3s,w/o portfolio,20.3,0.5,1.7,14.2,3.6,3.6,15.9,9.1,5.7
