external_mode,n_workers,strategy,mean_barrier_ms,p95_barrier_ms,mean_decode_ms,p95_decode_ms,mean_extra_compute,mean_rows_after_decode,decode_success_rate,mean_dispatch_ms,mean_cancel_ms,mean_network_response_mb,method,source,artifact,uses_first_decode_features,notes,gain_vs_original_percent
k3s,16,speed_aware_uncoded,9.556186031261355,10.56886364979155,6.503840531244925,7.3201458998937445,1.0,0.0,1.0,0.649172218729125,2.9907520469194,0.019968,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,34.50513462934896
k3s,16,sparse_flexible_static,14.59074078125151,16.539543250246364,8.783879796908375,11.026604250037023,2.394894554501488,3.453125,1.0,0.6048300468818891,3.6085469218320547,0.031551,SparseFlexibleStatic,Sparse-flexible coded learning,same-runtime reimplementation,No,legacy static baseline name,0.0
k3s,16,system_portfolio,10.327790531256602,14.858123299973084,6.706429296876544,8.711240499837894,1.1894763764880951,0.8125,1.0,0.6299233593906657,3.0733748124944316,0.02184,system_portfolio,system_portfolio,system_portfolio,system_portfolio,system_portfolio,29.216818487191688
k3s,16,guarded_system_portfolio,9.351703828130503,10.15696450008362,6.355880984365524,7.142983200037595,1.0,0.0,1.0,0.6379090781151765,2.9363231562626417,0.019968,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio,35.90658645552082
k3s,24,speed_aware_uncoded,12.622628078119606,13.661223499639146,8.196200921815896,9.181258650096405,1.0,0.0,1.0,0.7975993906512219,4.355528500028028,0.019968,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,21.573162841034954
k3s,24,sparse_flexible_static,16.094781500029804,17.78767059959135,8.26432117190729,10.759573950281208,2.434253510974702,8.875,1.0,0.6536045156479485,5.693728359389581,0.045747,SparseFlexibleStatic,Sparse-flexible coded learning,same-runtime reimplementation,No,legacy static baseline name,0.0
k3s,24,system_portfolio,12.484678093784344,13.31937089989873,8.052292015591378,8.823012299535485,1.0,0.0,1.0,0.7973347342157828,4.359507234354906,0.019968,system_portfolio,system_portfolio,system_portfolio,system_portfolio,system_portfolio,22.43027285731573
k3s,24,guarded_system_portfolio,12.43035665629571,13.35043979952386,8.001722468833306,8.80400809942323,1.0,0.0,1.0,0.8148456251290718,4.3559897343498735,0.019968,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio,22.767782487306878
k3s,8,speed_aware_uncoded,29.115995265662725,54.702102850001204,27.472246328166207,53.05898060012167,1.0,0.0,1.0,0.4535821093369406,1.5949987187510846,0.019968,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,-27.99643356773981
k3s,8,sparse_flexible_static,22.74750510939323,60.95912165028486,19.345901062514717,56.826858900262756,2.5387951078869047,0.5,1.0,0.44873943748763745,1.6835300781749625,0.022542,SparseFlexibleStatic,Sparse-flexible coded learning,same-runtime reimplementation,No,legacy static baseline name,0.0
k3s,8,system_portfolio,26.833573968730157,51.22635329962573,24.00397059374621,49.58749499962773,1.789088657924107,0.328125,1.0,0.45212379690435306,1.6402475312772862,0.021216,system_portfolio,system_portfolio,system_portfolio,system_portfolio,system_portfolio,-17.962712129031008
k3s,8,guarded_system_portfolio,20.215351406235932,50.973162899845065,17.01574581247906,49.19598059996123,2.12109375,0.375,1.0,0.46148520310391095,1.6438856874926937,0.020709,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio,11.13156669700751
