external_mode,n_workers,seed,strategy,mean_barrier_ms,p95_barrier_ms,mean_decode_ms,mean_extra_compute,mean_rows_after_decode,decode_success_rate,mean_dispatch_ms,mean_cancel_ms,method,source,artifact,uses_first_decode_features,notes
k3s,16,11,speed_aware_uncoded,9.508397250044665,9.959305800180076,6.437158250093887,1.0,0.0,1.0,0.6365821249118625,3.011929500018987,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded
k3s,16,11,sparse_flexible_static,14.371480499960363,16.375134350050747,8.687710874994488,2.484468005952381,2.625,1.0,0.597910375006375,3.5643972499314627,SparseFlexibleStatic,Sparse-flexible coded learning,same-runtime reimplementation,No,legacy static baseline name
k3s,16,11,system_portfolio,9.240071375017974,9.8228875001268,6.28880837501805,1.0,0.0,1.0,0.6786109999551875,2.8868278750450753,system_portfolio,system_portfolio,system_portfolio,system_portfolio,system_portfolio
k3s,16,11,guarded_system_portfolio,9.327536499938514,9.892192250049407,6.293126125001413,1.0,0.0,1.0,0.6810337500268749,2.9741870000634005,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
k3s,16,17,speed_aware_uncoded,9.314861000007076,10.107408000112605,6.2946928749738,1.0,0.0,1.0,0.5999956250661375,2.9575957501037253,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded
k3s,16,17,sparse_flexible_static,14.483923874934076,16.014422149783016,8.614897374968626,2.262021019345238,4.0,1.0,0.70640037500875,3.6419176249750627,SparseFlexibleStatic,Sparse-flexible coded learning,same-runtime reimplementation,No,legacy static baseline name
k3s,16,17,system_portfolio,11.204713749975738,14.054364899880003,6.6615479999540375,1.4005998883928572,2.25,1.0,0.5623028749255,3.2603316250856125,system_portfolio,system_portfolio,system_portfolio,system_portfolio,system_portfolio
k3s,16,17,guarded_system_portfolio,9.085450499924212,9.530487899996789,6.1069992499369,1.0,0.0,1.0,0.5951438749888874,2.919922874980275,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
k3s,16,23,speed_aware_uncoded,9.413856750029439,10.359093200122494,6.306004875000262,1.0,0.0,1.0,0.6361193749739376,3.0467669998869877,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded
k3s,16,23,sparse_flexible_static,14.492136874991925,16.68024164998766,8.741743750022087,2.4985816592261902,3.5,1.0,0.5824224999173125,3.6604876250407377,SparseFlexibleStatic,Sparse-flexible coded learning,same-runtime reimplementation,No,legacy static baseline name
k3s,16,23,system_portfolio,10.75607425008225,13.76766225016577,6.704999999953937,1.3415643601190474,1.5,1.0,0.6297801250525126,3.2128834999411624,system_portfolio,system_portfolio,system_portfolio,system_portfolio,system_portfolio
k3s,16,23,guarded_system_portfolio,9.199577499941777,9.54837579981805,6.106286624969862,1.0,0.0,1.0,0.66400212489265,3.0349741248300752,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
k3s,16,31,speed_aware_uncoded,9.558248500013562,10.16449415001254,6.573519000028187,1.0,0.0,1.0,0.64043587491365,2.9234866248656997,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded
k3s,16,31,sparse_flexible_static,14.411354125002111,16.20841375013237,8.617396999966275,2.1493908110119047,4.625,1.0,0.61215662498165,3.6690078750325,SparseFlexibleStatic,Sparse-flexible coded learning,same-runtime reimplementation,No,legacy static baseline name
k3s,16,31,system_portfolio,10.178395249965826,13.642346950268717,6.776255625027212,1.0925176711309523,0.375,1.0,0.6726336250153001,3.0158569999798,system_portfolio,system_portfolio,system_portfolio,system_portfolio,system_portfolio
k3s,16,31,guarded_system_portfolio,9.417457375036475,10.25028374997417,6.4413322500058365,1.0,0.0,1.0,0.5516940000802001,2.91353100004695,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
k3s,16,37,speed_aware_uncoded,9.397130999843688,10.41485989969706,6.2455883748384124,1.0,0.0,1.0,0.6433549999655375,3.0860183750291497,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded
k3s,16,37,sparse_flexible_static,14.606563125084863,15.97904579996338,8.875672250041989,2.5405738467261902,2.5,1.0,0.6164165000086,3.5082217500530124,SparseFlexibleStatic,Sparse-flexible coded learning,same-runtime reimplementation,No,legacy static baseline name
k3s,16,37,system_portfolio,11.109427500002713,14.785647699909465,6.9048146249315,1.4180385044642856,1.5,1.0,0.6220373750238,3.2475710000312,system_portfolio,system_portfolio,system_portfolio,system_portfolio,system_portfolio
k3s,16,37,guarded_system_portfolio,9.178412999972286,9.601349550189246,6.151802124861612,1.0,0.0,1.0,0.6858601249745875,2.9692097500060006,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
k3s,16,43,speed_aware_uncoded,9.896305999859537,11.097140349511365,6.860519374754362,1.0,0.0,1.0,0.6750320000036875,2.9765211251059873,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded
k3s,16,43,sparse_flexible_static,15.401738250034173,16.87019190012503,9.732634625152023,2.7723214285714284,2.75,1.0,0.4914240003017125,3.5354124996729004,SparseFlexibleStatic,Sparse-flexible coded learning,same-runtime reimplementation,No,legacy static baseline name
k3s,16,43,system_portfolio,9.707826125008927,10.038738749699325,6.7229620001398365,1.0,0.0,1.0,0.6950581249611251,2.92774587489925,system_portfolio,system_portfolio,system_portfolio,system_portfolio,system_portfolio
k3s,16,43,guarded_system_portfolio,9.8859942501121,10.799661649934844,6.928250625037387,1.0,0.0,1.0,0.6260176251088999,2.9005811250044253,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
k3s,16,53,speed_aware_uncoded,9.683917750294261,10.381803250174896,6.644945125231012,1.0,0.0,1.0,0.7022286250730125,2.9788191252463996,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded
k3s,16,53,sparse_flexible_static,14.622220250089363,15.715097000156646,8.493903500266201,2.226399739583333,3.875,1.0,0.5914551248906375,3.567246125044175,SparseFlexibleStatic,Sparse-flexible coded learning,same-runtime reimplementation,No,legacy static baseline name
