external_mode,strategy,mean_extra_compute,mean_dispatch_ms,mean_cancel_ms,mean_rows_after_decode,mean_selected_rows,mean_completed_rows,regression_count,regression_cases,method,source,artifact,uses_first_decode_features,notes
k3s,speed_aware_uncoded,1.0,0.6475413958295879,2.9839921197934833,0.0,8.0,8.0,14,48,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded
k3s,speculative_replication,1.1744065057663688,0.5930047604251832,3.302415057297214,2.203125,9.40625,11.609375,16,48,speculative_replication,speculative_replication,speculative_replication,speculative_replication,speculative_replication
k3s,sparse_flexible_static,2.450715564546131,0.5572694322992275,3.6540062708282974,4.223958333333333,9.03125,13.255208333333334,16,48,SparseFlexibleStatic,Sparse-flexible coded learning,same-runtime reimplementation,No,legacy static baseline name
k3s,original_sfcl_static,2.438382587735615,0.5690637864456001,3.6382207291734403,4.260416666666667,9.0,13.260416666666666,8,48,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement
k3s,worker_aware_sparse_flexible,2.593558175223214,0.5599839635360588,3.6460905364492175,4.171875,9.510416666666666,13.682291666666666,37,48,worker_aware_sparse_flexible,worker_aware_sparse_flexible,worker_aware_sparse_flexible,worker_aware_sparse_flexible,worker_aware_sparse_flexible
k3s,rank_aware_sparse_flexible,2.2392665318080356,0.5555744687602276,4.343987911450804,4.864583333333333,8.359375,13.223958333333334,32,48,rank_aware_sparse_flexible,rank_aware_sparse_flexible,rank_aware_sparse_flexible,rank_aware_sparse_flexible,rank_aware_sparse_flexible
k3s,deadline_aware_sparse_flexible,2.2440233987475198,0.5653790625051136,4.162948078122918,4.536458333333333,8.375,12.911458333333334,36,48,deadline_aware_sparse_flexible,deadline_aware_sparse_flexible,deadline_aware_sparse_flexible,deadline_aware_sparse_flexible,deadline_aware_sparse_flexible
k3s,system_portfolio,1.326842292906746,0.6378100000065021,3.2052824999990994,0.4583333333333333,8.036458333333334,8.494791666666666,14,48,system_portfolio,system_portfolio,system_portfolio,system_portfolio,system_portfolio
k3s,guarded_system_portfolio,1.5475657629588293,0.6250814999996115,3.079955291656894,0.625,8.041666666666666,8.666666666666666,2,48,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
k3s,online_counter_guard_rank_aware_sparse_flexible,2.3355557880704363,0.5585343541755103,3.645759177080233,4.302083333333333,8.682291666666666,12.984375,10,48,online_counter_guard_rank_aware_sparse_flexible,online_counter_guard_rank_aware_sparse_flexible,online_counter_guard_rank_aware_sparse_flexible,online_counter_guard_rank_aware_sparse_flexible,online_counter_guard_rank_aware_sparse_flexible
k3s,online_counter_guard_deadline_aware_sparse_flexible,2.32140144469246,0.5808343437519172,3.6777814270755895,4.395833333333333,8.635416666666666,13.03125,10,48,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback
k3s,rltune_style_selector,1.138787163628472,0.6119400260449448,3.1298675260462945,1.296875,8.895833333333334,10.192708333333334,12,48,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms"
k3s,sailor_style_heterogeneity_aware,1.0,0.6449860624897,2.9510378750027173,0.0,8.0,8.0,14,48,Sailor-style,SOSP'25 Sailor,public artifact; runtime adaptation,No,heterogeneity-aware throughput and load model
