external_mode,n_workers,strategy,mean_barrier_ms,p95_barrier_ms,mean_decode_ms,p95_decode_ms,mean_extra_compute,mean_rows_after_decode,decode_success_rate,mean_dispatch_ms,mean_cancel_ms,mean_network_response_mb,method,source,artifact,uses_first_decode_features,notes,gain_vs_original_percent
k3s,16,speed_aware_uncoded,9.559156984383987,10.55399059996482,6.514058671868333,7.3419112000919595,1.0,0.0,1.0,0.6645105156124,2.9855482187279345,0.019968,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,33.9916765035277
k3s,16,speculative_replication,10.265390562480492,12.561601399920562,5.928600046857419,6.793694799830484,1.1002342587425595,1.6875,1.0,0.5898774218806062,3.2766971406310064,0.026208,speculative_replication,speculative_replication,speculative_replication,speculative_replication,speculative_replication,29.114960432934858
k3s,16,sparse_flexible_static,14.489074671896367,16.642724100086035,8.74321660939965,11.044203300002616,2.399326869419643,3.359375,1.0,0.562896000001647,3.6428980937408015,0.031356,SparseFlexibleStatic,Sparse-flexible coded learning,same-runtime reimplementation,No,legacy static baseline name,-0.05061426122305991
k3s,16,original_sfcl_static,14.481744843731503,16.337045999921394,8.729558140622318,10.987146849924944,2.3796241396949402,3.421875,1.0,0.5858632656021234,3.588577921895773,0.031356,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement,0.0
k3s,16,worker_aware_sparse_flexible,14.757268718749776,16.244416700010305,9.05188831250565,10.864102150151187,2.547869001116071,3.265625,1.0,0.5980858124878313,3.6053422031371922,0.032292,worker_aware_sparse_flexible,worker_aware_sparse_flexible,worker_aware_sparse_flexible,worker_aware_sparse_flexible,worker_aware_sparse_flexible,-1.9025599331529073
k3s,16,rank_aware_sparse_flexible,13.851294562503066,15.974791100006714,8.05539171875575,9.64920984991971,1.9907371884300593,3.859375,1.0,0.559435328124586,3.6188469999842248,0.029211,rank_aware_sparse_flexible,rank_aware_sparse_flexible,rank_aware_sparse_flexible,rank_aware_sparse_flexible,rank_aware_sparse_flexible,4.3534138187866995
k3s,16,deadline_aware_sparse_flexible,15.365144843755676,30.514851249972608,8.01957609375488,9.51367720012966,1.9949544270833333,4.140625,1.0,0.5669200156290296,5.133368640599601,0.029913,deadline_aware_sparse_flexible,deadline_aware_sparse_flexible,deadline_aware_sparse_flexible,deadline_aware_sparse_flexible,deadline_aware_sparse_flexible,-6.100093666589885
k3s,16,system_portfolio,10.846694890641787,15.625887199962545,6.704713812499765,8.452828800068286,1.179655529203869,1.078125,1.0,0.6307754999994141,3.6362378437466236,0.022425,system_portfolio,system_portfolio,system_portfolio,system_portfolio,system_portfolio,25.100911473821235
k3s,16,guarded_system_portfolio,11.330904171870719,16.016053849978046,7.155311937502467,9.835118949956675,1.4592110770089286,1.46875,1.0,0.6027729531367704,3.211397124985591,0.024024,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio,21.757327627717743
k3s,16,online_counter_guard_rank_aware_sparse_flexible,14.19212729688364,16.122478149861696,8.484601078126945,10.521417349934795,2.234959193638393,3.71875,1.0,0.550276984387872,3.601176546865708,0.030927,online_counter_guard_rank_aware_sparse_flexible,online_counter_guard_rank_aware_sparse_flexible,online_counter_guard_rank_aware_sparse_flexible,online_counter_guard_rank_aware_sparse_flexible,online_counter_guard_rank_aware_sparse_flexible,1.999880193809831
k3s,16,online_counter_guard_deadline_aware_sparse_flexible,14.224850578127457,16.16285765002199,8.486703374995075,10.346991699918739,2.2328927176339284,3.609375,1.0,0.5998279531169203,3.6483417499794704,0.030615,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback,1.7739179109708196
k3s,16,rltune_style_selector,9.802905484391953,10.94077134995352,6.073875921874314,7.032181949864465,1.1021292550223214,1.34375,1.0,0.6051572343785437,3.182110624997799,0.025389,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms",32.30853332818393
