external_mode,n_workers,seed,strategy,actual_barrier_ms,no_straggler_barrier_ms,cancel_free_barrier_ms,fastest_safe_barrier_ms,removable_tail_fraction,dominant_bottleneck,method,source,artifact,uses_first_decode_features,notes
k3s,16,11,speed_aware_uncoded,9.485510124989062,5.494528530858083,7.15904562500205,7.15904562500205,0.24553285864875757,cancel,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded
k3s,16,11,speculative_replication,10.112724749973225,4.887430980056745,6.911332499953412,6.64314968746275,0.34299971433721155,cancel,speculative_replication,speculative_replication,speculative_replication,speculative_replication,speculative_replication
k3s,16,11,sparse_flexible_static,13.874449999974512,7.237017729685601,10.333433499994275,9.751654062497945,0.2999581870394943,cancel,SparseFlexibleStatic,Sparse-flexible coded learning,same-runtime reimplementation,No,legacy static baseline name
k3s,16,11,original_sfcl_static,14.173414374965825,7.326966547673889,10.705174374948001,9.967497937481044,0.299042001151883,cancel,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement
k3s,16,11,worker_aware_sparse_flexible,14.622762875035212,7.543018527764697,11.075159875048238,10.325076000086087,0.296037356090971,cancel,worker_aware_sparse_flexible,worker_aware_sparse_flexible,worker_aware_sparse_flexible,worker_aware_sparse_flexible,worker_aware_sparse_flexible
k3s,16,11,rank_aware_sparse_flexible,13.364254250006937,6.574940501601265,9.839985250010862,9.097094437521456,0.3207412378107778,cancel,rank_aware_sparse_flexible,rank_aware_sparse_flexible,rank_aware_sparse_flexible,rank_aware_sparse_flexible,rank_aware_sparse_flexible
k3s,16,11,deadline_aware_sparse_flexible,15.34786237505155,6.531343746082958,9.725138000078475,9.02260700004827,0.3685382396065777,cancel,deadline_aware_sparse_flexible,deadline_aware_sparse_flexible,deadline_aware_sparse_flexible,deadline_aware_sparse_flexible,deadline_aware_sparse_flexible
k3s,16,11,system_portfolio,9.2795313750002,5.260691136739443,6.820834000023888,6.820834000023888,0.2656256860115159,cancel,system_portfolio,system_portfolio,system_portfolio,system_portfolio,system_portfolio
k3s,16,11,guarded_system_portfolio,10.314785250017124,5.583638504698963,7.755142250004988,7.495609625010412,0.2675139290394295,cancel,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio
k3s,16,11,online_counter_guard_rank_aware_sparse_flexible,13.444514624978824,6.794575055067636,9.998332499947074,9.300378749998075,0.30862259738076947,cancel,online_counter_guard_rank_aware_sparse_flexible,online_counter_guard_rank_aware_sparse_flexible,online_counter_guard_rank_aware_sparse_flexible,online_counter_guard_rank_aware_sparse_flexible,online_counter_guard_rank_aware_sparse_flexible
k3s,16,11,online_counter_guard_deadline_aware_sparse_flexible,13.751288250034525,6.814556913701746,10.074706250065912,9.340634375050126,0.3212606154294892,cancel,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback
k3s,16,11,rltune_style_selector,9.6483055000362,5.097639776949747,6.820688750053625,6.756495250030444,0.2993713921470739,cancel,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms"
k3s,16,11,sailor_style_heterogeneity_aware,9.257518875017412,5.339912132793468,6.95914637498155,6.95914637498155,0.24855914995523304,cancel,Sailor-style,SOSP'25 Sailor,public artifact; runtime adaptation,No,heterogeneity-aware throughput and load model
