strategy,mean_decode_latency,p95_decode_latency,mean_barrier_latency,p95_barrier_latency,final_loss,total_decode_wall_clock,total_barrier_wall_clock,decode_success_rate,mean_scheduler_seconds,mean_decode_cpu_seconds,mean_worker_compute_cpu_seconds,mean_extra_compute,mean_selected_rows,mean_completed_rows,mean_cancelled_rows,second_layer_rate,decode_latency_improvement_vs_sparse_flexible,p95_decode_latency_improvement_vs_sparse_flexible,barrier_latency_improvement_vs_sparse_flexible,mean_dispatch_seconds,mean_cancel_seconds,mean_network_response_mb,mean_network_response_sleep_seconds,mean_worker_errors,workers,seed,strategy_label,pod_node_counts,mean_decode_gain_vs_static_pct,p95_decode_gain_vs_static_pct,mean_barrier_gain_vs_static_pct,p95_barrier_gain_vs_static_pct,mean_decode_gain_vs_speed_pct,mean_barrier_gain_vs_speed_pct,case,static_barrier_latency,barrier_gain_vs_static_pct,mean_worker_recoveries,mean_reissued_rows
speed_aware_uncoded,0.0082795194998652,0.0089443092498413,0.0127868713333706,0.01335568924992,0.0287470172236096,0.0496771169991916,0.076721228000224,1.0,5.322916657254003e-05,0.0003477223331932,0.0018310608333346,1.0,8.0,8.0,0.0,0.0,-0.0053038725410106,0.2151012793948254,0.1854093521094243,0.000810911666728,0.0044275548332279,0.019968,0.0,0.0,24,31,Speed-aware uncoded,9s:24,-0.530387254100204,21.51012793948241,18.540935210942727,29.473504238211024,0.0,0.0,baseline,0.0156972970000121,18.540935210942727,0.0,0.0
sparse_flexible_static,0.0082358376666131,0.0113954947498768,0.0156972970000121,0.0189371229998869,0.0287470172236096,0.0494150259996786,0.0941837820000728,1.0,0.000213274000013,0.0004453623330391,0.0050851794997773,2.693421378968253,10.333333333333334,20.0,28.0,0.1666666666666666,0.0,0.0,0.0,0.0006287683332478,0.0056461421665214,0.04992,0.0,0.0,24,31,Static sparse-flex,9s:24,0.0,0.0,0.0,0.0,0.5275889893466732,-22.761046003849295,baseline,0.0156972970000121,0.0,0.0,0.0
rank_aware_sparse_flexible,0.0077067728332925,0.0088973144996771,0.015387149999924,0.0168563834998849,0.0287470172236096,0.0462406369997552,0.0923228999995444,1.0,3.609933332882065e-05,0.0004226646666059,0.0045118616671212,2.469959077380952,9.833333333333334,18.5,29.5,0.1666666666666666,0.0642393469537795,0.2192252556850816,0.0197579876387521,0.0007140493334342,0.005604463666638,0.046176,0.0,0.0,24,31,Rank-aware,9s:24,6.42393469537839,21.922525568507755,1.975798763875467,10.987622037489151,6.917631712589426,-20.33553477438465,baseline,0.0156972970000121,1.975798763875467,0.0,0.0
system_portfolio,0.008110399833337,0.008643157999927,0.0125986153332936,0.013406378999889,0.0287470172236096,0.0486623990000225,0.0755916919997616,1.0,0.0007278746666846,0.0002566806670074,0.001229078333381,1.0,8.0,8.0,0.0,0.0,0.0152307316333488,0.2415284996712868,0.197402244903446,0.0007277304998751,0.0044160971666921,0.019968,0.0,0.0,24,31,Portfolio,9s:24,1.5230731633359968,24.152849967128947,19.7402244903445,29.205830262764476,2.042626586373215,1.4722600640056367,baseline,0.0156972970000121,19.7402244903445,0.0,0.0
guarded_system_portfolio,0.0080211380000037,0.0086130514997648,0.0124840771666943,0.0129140244998779,0.0287470172236096,0.0481268280000222,0.0749044630001662,1.0,0.0010837414999211,0.0002909313333627,0.0012506380004045,1.0,8.0,8.0,0.0,0.0,0.0260689531897601,0.2441704648358572,0.204698925765071,0.0007743448333409,0.0043906258334421,0.019968,0.0,0.0,24,31,Guarded portfolio,9s:24,2.6068953189760116,24.417046483585814,20.469892576507426,31.805773770624878,3.1207306156559738,2.3680082389355186,baseline,0.0156972970000121,20.469892576507426,0.0,0.0
online_counter_guard_deadline_aware_sparse_flexible,0.0080526093333901,0.011272043750182,0.0158220941665755,0.0193078262499284,0.0287470172236096,0.0483156560003408,0.0949325649994534,1.0,0.0007862253334375,0.0004055014998508,0.0050909998335555,2.5469990079365075,9.833333333333334,19.666666666666668,28.33333333333333,0.1666666666666666,0.0222476863483779,0.0108333163591804,-0.0079502328689673,0.000687605166604,0.0055908188333736,0.049088,0.0,0.0,24,31,Guarded deadline-aware,9s:24,2.224768634838219,1.083331635918085,-0.7950232868964746,-1.9575478811840394,2.7406199898290473,-23.73702490681759,baseline,0.0156972970000121,-0.7950232868964746,0.0,0.0
speed_aware_uncoded,0.0085915398333327,0.009168031749823,0.0130612524999378,0.0137257597498319,0.0287470172236096,0.0515492389999963,0.078367514999627,1.0,5.52879999607588e-05,0.0003732641665313,0.0019312841667063,1.0,8.0,8.0,0.0,0.0,0.105923275497027,0.3851429166480721,0.2534570170528605,0.0008320913333742,0.0043947593332328,0.019968,0.0,0.0,24,7,Speed-aware uncoded,9s:24,10.59232754970267,38.51429166480735,25.345701705285894,37.42978235174001,0.0,0.0,baseline,0.0174956469999566,25.345701705285894,0.0,0.0
sparse_flexible_static,0.0096093988333147,0.0149108337499228,0.0174956469999566,0.0219365702497498,0.0287470172236096,0.0576563929998883,0.1049738819997401,1.0,0.0002111898334836,0.0004796679998738,0.0053221785004401,3.002325148809524,11.166666666666666,20.666666666666668,27.33333333333333,0.6666666666666666,0.0,0.0,0.0,0.000556096500001,0.0057107145000069,0.051584,0.0,0.0,24,7,Static sparse-flex,9s:24,0.0,0.0,0.0,0.0,-11.847224359398302,-33.95076008246466,baseline,0.0174956469999566,0.0,0.0,0.0
rank_aware_sparse_flexible,0.0078368033333996,0.008603454750073,0.0156567231667092,0.0169253850000359,0.0287470172236096,0.047020820000398,0.0939403390002553,1.0,3.5909833438078444e-05,0.0002853620000375,0.0047403521667395,1.814267113095238,7.166666666666667,18.0,30.0,0.1666666666666666,0.1844647652431335,0.4230064599762854,0.1051075066416244,0.0007208286666203,0.0057502808333538,0.044928,0.0,0.0,24,7,Rank-aware,9s:24,18.44647652431401,42.30064599762877,10.510750664162135,22.84397785369869,8.784647625154928,-19.87152967744678,baseline,0.0174956469999566,10.510750664162135,0.0,0.0
system_portfolio,0.0081200171667508,0.0085523712500616,0.0125560209999851,0.0131109769997692,0.0287470172236096,0.0487201030005053,0.075336125999911,1.0,0.0007350740000523,0.0002838323334041,0.0013206606668821,1.0,8.0,8.0,0.0,0.0,0.1549921792610284,0.4264323918100192,0.2823345715642151,0.0008138025000334,0.00436328583343,0.019968,0.0,0.0,24,7,Portfolio,9s:24,15.499217926103587,42.643239181002336,28.23345715642156,40.23232961898983,5.4882206883628575,3.8681703761190347,baseline,0.0174956469999566,28.23345715642156,0.0,0.0
